MO_Energy_eV,Cl-Hg,Cl-Se,Hg-Se
-8.875443096612177,0.024778636524753213,-0.0010272208250022567,-0.01859415668143239
-8.874218847525984,0.035237136850716375,-0.0013086375710835837,-0.01970682402606829
-8.872508435526404,0.019583075133204914,-0.0008702700764561499,-0.02360118742401479
-8.871476956039777,0.03216020053054284,-0.0012947986576847456,-0.018419212028861844
-8.870453006871232,0.02561007709034795,-0.001165657801472397,-0.022136866705157788
-8.866532234385986,0.031808219446547034,-0.0012243329265452722,-0.02228275614254836
-8.865304704175744,0.031129853199849143,-0.0011746000739919797,-0.021702813725117877
-8.863185823744546,0.03128508168768374,-0.0012596002687049219,-0.023861012928756427
-8.861481982939559,0.025492030524812862,-0.0009896289354587122,-0.019706816379014037
-8.860541879706458,0.027423061747525644,-0.0010986959305954616,-0.023756187839836667
-8.858417442931586,0.02816313224179724,-0.0010630710806637349,-0.02158532981814799
-8.857425594675691,0.025877887146289472,-0.0010642807610279103,-0.022972873293350436
-8.855771782443762,0.0387253708486128,-0.0014842354509011545,-0.02250456772208121
-8.853240920938884,0.04858452325404319,-0.0018366585055786637,-0.023289230862788127
-8.850778769496818,0.040359200560232504,-0.001483865035763005,-0.019587154217438178
-8.846777914679159,0.033156951792413555,-0.0015247904790587562,-0.025075311481664135
-8.845329388581336,0.038547271036990106,-0.0016120789941744724,-0.024672692526892727
-8.844641547070875,0.041943904931549196,-0.001647100147315815,-0.021680492975367
-8.843299535513593,0.034415142347086765,-0.001429733383010818,-0.023876195259583993
-8.841592204927549,0.0411832727304194,-0.0014894096875583125,-0.025597291911430793
-8.83995890811362,0.03542967524548766,-0.0012965341018446976,-0.025547693304558094
-8.83712001598736,0.030279729006231538,-0.0013338621781614777,-0.02255961191910066
-8.833869461379793,0.027064404212120256,-0.001173454320970996,-0.019955339532275837
-8.832463285321333,0.03557180000817673,-0.0013518072124081237,-0.021206235437324056
-8.830510271611743,0.03591106155973821,-0.0014248919897208447,-0.024035371179195585
-8.828969242506584,0.03298983582685129,-0.0013075892988223547,-0.025236876329318036
-8.827785988808527,0.030654347905974898,-0.001335137512973344,-0.019563596269135067
-8.824109180141473,0.03008944670858701,-0.001238718626371924,-0.0176785183074177
-8.822718142215559,0.023146608865017047,-0.0010692644319602537,-0.018708399132028857
-8.81930988806928,0.026707663684301153,-0.0010260166542624342,-0.01774366948829303
-8.817667666335936,0.02722051217843891,-0.0011607920011574987,-0.019311957441855387
-8.815907403548035,0.02502085458105676,-0.001055143758731977,-0.018749667036951388
-8.814331110105636,0.04538145057952916,-0.001750128214574119,-0.017157998258916233
-8.813335064298952,0.03062362609799236,-0.001347989156678244,-0.023403363162170714
-8.806606009023113,0.03786749211702204,-0.0015602649921862654,-0.026132423810735952
-8.804776010394948,0.026608771414585397,-0.0015137749289979119,-0.030221145340014514
-8.80277672830703,0.027565091808341415,-0.00119931433845918,-0.02247353530157358
-8.800258447140493,0.03944049540102586,-0.0019360508910073468,-0.03166558928832802
-8.798951939306113,0.02554744202714005,-0.0012453413444723255,-0.02167866173843839
-8.797320751102022,0.03626799310450799,-0.0018737503862574102,-0.034852344417672584
-8.793511008264062,0.03333825617434091,-0.001620379191319756,-0.026444163048836344
-8.79168545464539,0.027754288956450466,-0.001383612385120482,-0.022219400396392208
-8.788359057390842,0.034984521653806076,-0.0016419559291652474,-0.026747647406196524
-8.786828130613372,0.03612878483401335,-0.0019638915834079796,-0.03075851877026183
-8.785495356481604,0.033758543487228156,-0.001748740775428475,-0.031856343970855815
-8.783451778003649,0.0372637281016672,-0.001888643861891431,-0.02708859991033411
-8.781137715044256,0.030849760813200823,-0.0015943084821411887,-0.03127117855235369
-8.779656447593458,0.036750562601072706,-0.0019705342290346566,-0.03522684332462416
-8.777819531695577,0.025571420849742166,-0.0015475490797826979,-0.028419886504537768
-8.775428291147016,0.03275035284462968,-0.0015501770793905155,-0.032422184473291586
-8.774398318577008,0.03582030473772238,-0.0016819569194076853,-0.030038187530744758
-8.7701956532991,0.03158333631019929,-0.0014403818178492362,-0.028257921106986193
-8.766534805970048,0.038631356653345654,-0.0014399783078695026,-0.028247667594808564
-8.763251189565853,0.029735866629124686,-0.0013165172308435584,-0.02457407691196786
-8.761573716486678,0.04279867689546758,-0.001942944830416364,-0.028597199862608606
-8.758696782898346,0.03782525686250374,-0.0016850614432893192,-0.02975060738218817
-8.756773245958767,0.040761736620008975,-0.001847947958591092,-0.028885848057737425
-8.756566268014067,0.03244137950509052,-0.0013930804861418205,-0.027202952658150408
-8.753270284069806,0.02897589055986744,-0.001415605623990939,-0.028864684654294266
-8.752079121031855,0.03217524437722754,-0.001714361240930603,-0.03340607245995234
-8.750129407950997,0.03792248082317585,-0.0019240474766521866,-0.0340937261571813
-8.747317084520033,0.037637344295387676,-0.0018237446280840925,-0.03302209352496578
-8.743803784305355,0.03742453139173685,-0.0017907825644240991,-0.03362249978074133
-8.740020764676693,0.0371947322578965,-0.0017687205902581495,-0.0293446368705326
-8.735566166470356,0.042917079930602106,-0.0019592800707386067,-0.030384543046506614
-8.73330833008673,0.034359948510038194,-0.0017691930494778748,-0.031339794783285975
-8.729297744634112,0.04271453288163129,-0.0024247252907691023,-0.040061594065264265
-8.727559799816994,0.040168839620424765,-0.002076391217617794,-0.03578783096856196
-8.724910755856815,0.042132098295443995,-0.002211531069950888,-0.038635339419783324
-8.724220409373515,0.04321724603217728,-0.0020531197309137847,-0.0368156311072501
-8.722791666631545,0.036273335245796685,-0.002058966953605455,-0.03981095731855476
-8.721027077039919,0.033553085360945756,-0.0017489736075037472,-0.03341844674708087
-8.719531509944188,0.03704605575543793,-0.002114059463919269,-0.04106656747411612
-8.715523649626926,0.03900646244545063,-0.0023363147053081517,-0.0433563422275921
